image_id,angle,speed
1,0.53385353,-0.21049947
2,0.7751901,0.98437446
3,0.07475746,0.9637163
4,0.28420952,1.0053003
5,0.22514096,0.9708601
6,0.7417152,0.9684998
7,0.6769681,0.9749969
8,0.75971055,0.9837167
9,0.4608713,-0.023319542
10,0.65129006,0.36981827
11,0.5518535,-0.08283931
12,0.7056168,-0.04915303
13,0.4377851,0.97588193
14,0.6005545,0.002530694
15,0.10827583,0.9665307
16,0.49169648,0.25618917
17,0.5883512,-0.09847534
18,0.7722578,-0.056617737
19,0.44925216,-0.18194264
20,0.18350446,0.97064006
21,0.72572345,0.9951572
22,0.2803651,0.98438203
23,0.23093054,0.9873563
24,0.7034137,-0.046835065
25,0.6980027,-0.03861797
26,0.7114434,1.0129142
27,0.64280504,-0.017362416
28,0.6957552,-0.078038394
29,0.693576,-0.16229123
30,0.66923165,0.98967576
31,0.41420862,0.8187927
32,0.72497374,1.0019271
33,0.70728844,-0.15296197
34,0.6581951,0.999316
35,0.51798165,-0.1436798
36,0.6199892,1.0120059
37,0.4740839,0.9945308
38,0.75428414,0.9853636
39,0.57796127,-0.13877493
40,0.74252164,1.0169483
41,0.5120115,0.99669904
42,0.59716773,0.017215729
43,0.1732235,0.53387874
44,0.42501575,-0.116378665
45,0.19123128,0.99246633
46,0.7243858,-0.21428978
47,0.7491936,-0.030130148
48,0.63263774,-0.30319726
49,0.52586186,0.08885196
50,0.6275823,0.9801263
51,0.5184535,1.0036259
52,0.4436351,0.9785838
53,0.7479683,-0.028179228
54,0.56861645,0.98817617
55,0.70062006,-0.048062086
56,0.57670265,-0.06880307
57,0.54848486,-0.038945973
58,0.64365375,-0.047870934
59,0.14381504,0.60802734
60,0.6749299,1.0139822
61,0.6655187,-0.047683835
62,0.4258178,1.0037568
63,0.7559404,0.9883028
64,0.7578349,0.015373528
65,0.70352674,1.0034024
66,0.6562908,-0.11135739
67,0.5913454,0.046279073
68,0.66198003,-0.10316312
69,0.3433171,0.37044585
70,0.60622036,-0.11248124
71,0.33614445,0.9899506
72,0.6783588,0.040483475
73,0.7222061,-0.04463756
74,0.7392594,-0.007575929
75,0.447842,0.14201239
76,0.75447345,0.99687207
77,0.55940187,0.9893385
78,0.51127446,0.982852
79,0.47978884,0.9896362
80,0.7313214,0.9882213
81,0.73425657,1.0070472
82,0.6821,1.0144598
83,0.6378571,0.3815636
84,0.5035687,0.627669
85,0.42103428,1.0227685
86,0.42378283,0.022081554
87,0.48894364,1.0056577
88,0.191726,0.7965517
89,0.4977733,-0.24835318
90,0.081742525,1.0044767
91,0.4769225,1.0012978
92,0.38755962,0.13019437
93,0.36320668,0.1161055
94,0.13402545,0.95545423
95,0.72175217,-0.013139188
96,0.39250877,-0.2805767
97,0.2927043,0.7761161
98,0.63039106,-0.11350441
99,0.44008607,-0.068504035
100,0.57666266,1.0051776
101,0.7412889,0.026351213
102,0.6795842,0.9906595
103,0.34299552,0.029045045
104,0.43514717,-0.032524645
105,0.5042738,0.43768296
106,0.6501635,-0.2587313
107,0.5419695,-0.036563933
108,0.17854184,0.9797931
109,0.75497735,1.0019151
110,0.75072217,-0.11222637
111,0.42490625,0.99842215
112,0.55363476,-0.078535795
113,0.6242644,-0.036052227
114,0.4804372,-0.17508847
115,0.5408124,-0.31648016
116,0.52692324,0.9488526
117,0.5191199,-0.018891096
118,0.46010295,0.9833026
119,0.765642,0.99362797
120,0.6845247,-0.055027068
121,0.27181342,0.9954341
122,0.61029696,-0.024938881
123,0.46373793,0.11852452
124,0.5077324,-0.17010075
125,0.15641084,0.9858583
126,0.73741686,-0.043097734
127,0.38068548,0.7446916
128,0.44357508,0.9713816
129,0.071044505,0.96606433
130,0.5735522,-0.031701148
131,0.5934688,-0.08703208
132,0.3453447,0.9765167
133,0.7310576,0.9927094
134,0.48333594,1.013279
135,0.7515214,0.991413
136,0.6630936,-0.14333034
137,0.4282214,-0.24688834
138,0.63680995,0.1668776
139,0.4623757,0.5619818
140,0.71818835,-0.06706554
141,0.6861401,0.97789747
142,0.09816623,0.92455053
143,0.615917,-0.0546
144,0.276827,0.9836496
145,0.45982805,1.0075799
146,0.75835717,0.116000146
147,0.39984214,-0.23527569
148,0.35967958,-0.017369151
149,0.47400936,-0.10054016
150,0.62442815,-0.12466091
151,0.7593345,1.0130689
152,0.54015887,0.12605458
153,0.6928061,-0.1020031
154,0.43684083,1.0153477
155,0.48402655,-0.19033945
156,0.6244402,-0.06103307
157,0.6983721,-0.09985876
158,0.71699476,1.0119021
159,0.51841545,0.15409333
160,0.1350986,0.6633353
161,0.6438457,0.9558667
162,0.35796475,0.9990195
163,0.701618,-0.09558219
164,0.7570106,0.9979712
165,0.6227031,-0.19729024
166,0.37544057,-0.2798668
167,0.470374,-0.07784963
168,0.40429172,0.96742797
169,0.2146338,1.0192422
170,0.6838568,1.0113328
171,0.47375363,-0.13279831
172,0.50775003,0.9997102
173,0.7479582,0.027261078
174,0.47255385,1.0062106
175,0.326373,0.99466634
176,0.43963945,-0.13381225
177,0.5671684,0.9716672
178,0.72616744,1.0174954
179,0.42851555,-0.08305931
180,0.27186868,0.99616003
181,0.33236375,0.98720473
182,0.75082743,0.98936677
183,0.4669582,-0.11974859
184,0.46493113,-0.10056609
185,0.44552422,1.0049431
186,0.75045174,1.003597
187,0.28035665,0.96193814
188,0.6286178,-0.1357947
189,0.6990277,-0.073807
190,0.72021234,-0.08216852
191,0.45448536,-0.15629387
192,0.4688529,0.15483475
193,0.4484535,-0.001609683
194,0.41544184,1.0123218
195,0.38113955,-0.19980305
196,0.091468036,0.92338824
197,0.70520616,-0.15283912
198,0.45783424,-0.22197443
199,0.73313546,0.47635835
200,0.44631726,-0.09968662
201,0.43480992,1.0096351
202,0.68268806,1.0122559
203,0.7059022,0.0020864606
204,0.22585258,0.9686811
205,0.41684753,0.29864925
206,0.7456596,0.037248164
207,0.696905,-0.09373313
208,0.5178204,-0.07842481
209,0.5031302,0.95133257
210,0.6055516,0.997054
211,0.7429114,0.70408624
212,0.44168162,1.0039428
213,0.592221,1.0378321
214,0.3922149,1.0162063
215,0.7622419,-0.08651006
216,0.66787606,-0.07425481
217,0.7627351,-0.1233654
218,0.6085549,-0.024528444
219,0.44519803,0.17123353
220,0.6579825,-0.1468628
221,0.7116685,-0.053350866
222,0.76193446,-0.018760204
223,0.7164461,1.0122758
224,0.059183896,0.9469602
225,0.3047659,0.96699417
226,0.7483809,1.0021756
227,0.10884577,0.9833312
228,0.7726468,0.5169165
229,0.40554735,1.0107689
230,0.27265283,1.0035563
231,0.38526762,1.0038443
232,0.43812093,1.0090516
233,0.801157,-0.19800466
234,0.5496799,-0.082889974
235,0.6611094,1.0102042
236,0.7678746,-0.014120996
237,0.5214885,0.1873382
238,0.58542925,-0.2323547
239,0.44493386,-0.26496333
240,0.51215726,0.9947101
241,0.509372,-0.20330596
242,0.75952494,-0.012024343
243,0.62034935,-0.1643129
244,0.73617065,-0.14789313
245,0.47619572,1.0070488
246,0.19776675,0.92446077
247,0.48076475,-0.11757767
248,0.07046884,0.96974206
249,0.7151975,1.0088952
250,0.75362414,1.0054053
251,0.4538769,1.0057892
252,0.5397885,-0.15963966
253,0.6923917,-0.13382715
254,0.753206,-0.06374544
255,0.5974792,-0.17482835
256,0.6670938,1.0187805
257,0.5729922,-0.08898944
258,0.7031542,0.9802071
259,0.20318392,0.9954515
260,0.48381674,-0.125817
261,0.7652315,1.0175202
262,0.6920387,-0.054039896
263,0.6571138,1.0034778
264,0.6175381,0.009357512
265,0.5410087,-0.07356119
266,0.7287997,-0.06594455
267,0.69006115,-0.24497074
268,0.67984843,0.98934835
269,0.70153683,-0.02636671
270,0.16877985,0.23357064
271,0.73997813,1.0069716
272,0.1121788,0.94742
273,0.71618736,0.08101869
274,0.7289061,-0.14900523
275,0.56042737,1.0053512
276,0.24965739,1.014252
277,0.7330846,-0.045373738
278,0.48307014,0.99703777
279,0.67733794,-0.0738799
280,0.40034133,1.017384
281,0.53677094,-0.046069145
282,0.7138076,0.016645312
283,0.12632751,0.9970303
284,0.69262147,-0.22023743
285,0.45208436,-0.0769496
286,0.62949,-0.14036399
287,0.58986515,-0.111989796
288,0.5017737,-0.21199715
289,0.46808973,-0.20289707
290,0.58818835,1.0033004
291,0.68314886,-0.116416454
292,0.73072326,0.99503565
293,0.38078573,1.0148454
294,0.73356926,0.21452439
295,0.7509138,0.019090056
296,0.4704569,1.0048782
297,0.44899005,-0.06452322
298,0.41808593,-0.24876136
299,0.4085698,1.0147271
300,0.66196364,-0.097304106
301,0.5996976,-0.19444686
302,0.29515976,1.0026176
303,0.6353322,0.17085439
304,0.6131288,-0.0015177727
305,0.17430794,0.491074
306,0.6399504,-0.20088375
307,0.7628539,0.9995822
308,0.6143435,-0.14980394
309,0.45425224,-0.092887044
310,0.5673602,0.08532256
311,0.32929185,0.53497
312,0.114539504,0.9212811
313,0.5084515,1.0004702
314,0.7939463,1.0039449
315,0.527149,0.5490622
316,0.6472084,-0.11803371
317,0.7385023,0.993481
318,0.33698952,0.99955976
319,0.44820625,0.99672115
320,0.4228719,-0.19527876
321,0.43153447,0.10385713
322,0.4173547,-0.08760202
323,0.6932188,1.0069032
324,0.71200955,-0.07287049
325,0.73008716,-0.043933332
326,0.6073445,-0.052650392
327,0.32295126,1.0164453
328,0.7759427,-0.09716809
329,0.7483678,0.995609
330,0.743857,0.99357533
331,0.7606836,0.99835944
332,0.5204259,-0.113391876
333,0.6838864,-0.0885821
334,0.58592623,-0.14814562
335,0.75618535,0.062760144
336,0.060102284,0.93838155
337,0.32750732,1.0098078
338,0.6912414,0.43305036
339,0.58626026,0.33255324
340,0.28234398,0.120339006
341,0.26545435,0.09655973
342,0.6075704,1.004381
343,0.4021006,0.97851765
344,0.6976303,-0.028924823
345,0.3532243,-0.1830898
346,0.70769584,-0.04371023
347,0.5517678,-0.10473555
348,0.61008066,0.9817446
349,0.43313938,1.0118542
350,0.5059503,-0.14941072
351,0.5108609,-0.12736237
352,0.42703402,-0.24431652
353,0.43127877,1.0066003
354,0.393359,0.46053785
355,0.5771731,-0.18652678
356,0.40287942,-0.077928126
357,0.38937417,0.7150356
358,0.4272672,0.9930413
359,0.7443105,-0.066197634
360,0.8014041,0.56040365
361,0.7926033,1.009191
362,0.5820686,-0.21898651
363,0.36591634,1.0006658
364,0.42612702,0.11134592
365,0.5985212,1.0127428
366,0.41863996,0.998417
367,0.7155018,0.95257497
368,0.73388046,0.992756
369,0.43616188,0.26879779
370,0.42051983,-0.22931832
371,0.44197923,-0.16643512
372,0.612599,-0.017439187
373,0.6265601,0.06744757
374,0.40328628,-0.14986849
375,0.4446742,1.0028334
376,0.12384507,0.9862298
377,0.74410486,0.9925904
378,0.46676692,0.16698524
379,0.6825597,-0.01710099
380,0.63912606,-0.13103187
381,0.47979468,0.09159702
382,0.57098716,0.9945648
383,0.46700996,1.0037745
384,0.3953773,1.0107642
385,0.3857544,0.8037883
386,0.7552807,-0.03416246
387,0.49432087,-0.2034018
388,0.106042445,0.994015
389,0.36956888,0.9650582
390,0.5747509,1.0116729
391,0.10593134,0.9495833
392,0.5750123,-0.06190747
393,0.5652174,-0.054448664
394,0.53130746,-0.114936054
395,0.4565693,0.2408086
396,0.020873904,0.9656398
397,0.12980822,0.92807424
398,0.6838021,-0.014534116
399,0.47808018,-0.214746
400,0.7056838,1.0056274
401,0.37549073,0.13157418
402,0.53507614,0.94105786
403,0.06504923,0.9176512
404,0.399566,0.70323604
405,0.5549971,0.99643993
406,0.44560677,1.016354
407,0.6142036,-0.069814205
